Owner,Schedule,Location,Day of Week,Start,End,Hours,Requests,Requesters
ejc185,BUS-LSM-Cons,Busch Campus,Monday,2:00PM,6:00PM,4,11,"cjk171 (2), ejc185 (1), ac1109 (3), rp928 (2), ktm96 (1), hk625 (1), hsr30 (1), jbm200 (5), smt196 (2), bjs300 (4), spp131 (1)"
ejc185,BUS-ARC-Cons,Busch Campus,Tuesday,8:00AM,11:30AM,3.5,11,"ejc185 (4), vsl22 (1), jrb340 (3), brl51 (1), ap1614 (1), jfm203 (2), msm322 (1), jbm200 (4), jp1682 (4), ava45 (2), hp408 (4)"
ejc185,BUS-ARC-Cons,Busch Campus,Tuesday,11:45AM,3:15PM,3.5,13,"esr59 (1), ejc185 (1), srp221 (1), yw559 (2), nad129 (4), srg154 (1), tjb234 (1), jbm200 (5), ejc190 (4), bpl52 (1), bwr29 (4), dpc121 (1), bjg144 (4)"
ejc190,BUS-BEST-Cons,Busch Campus,Sunday,10:00PM,2:00AM,4,5,"rp928 (2), sr1193 (4), jsq8 (5), ejc190 (2), dpc121 (5)"
ejc190,BUS-BEST-Cons,Busch Campus,Tuesday,11:30AM,3:00PM,3.5,9,"ac1109 (1), nad129 (3), brl51 (3), tjb234 (5), jbm200 (5), ejc190 (2), bwr29 (5), dpc121 (1), bjg144 (1)"
ejc190,BUS-BEST-Cons,Busch Campus,Tuesday,9:45PM,2:00AM,4.25,4,"ajl271 (3), ca571 (1), dpc121 (5), gak87 (1)"
ejc190,BUS-BEST-Cons,Busch Campus,Thursday,9:45PM,2:00AM,4.25,4,"ajl271 (2), rp928 (2), ejc190 (1), dpc121 (4)"
ejc192,BUS-ARC-Cons,Busch Campus,Wednesday,6:15PM,9:45PM,3.5,16,"ejc185 (5), rgd51 (1), sr1193 (1), ajb384 (4), cli14 (2), njh45 (1), msm322 (1), jbm200 (5), ajc423 (3), jwn32 (2), bpl52 (3), ava45 (4), smt196 (1), ejc192 (1), bjs300 (3), bhp38 (3)"
ejc192,BUS-ARC-Cons,Busch Campus,Friday,6:15PM,10:00PM,3.75,12,"cjk171 (1), njh45 (4), jbm200 (5), bpl52 (2), js2585 (3), jp1682 (4), jje77 (3), dpc121 (3), aab283 (2), bhp38 (1), hp408 (1), eg560 (4)"
esr59,BUS-ARC-Cons,Busch Campus,Tuesday,8:15AM,10:00AM,1.75,10,"esr59 (1), jrb340 (5), brl51 (1), ap1614 (1), msm322 (1), jc2427 (4), aab283 (1), ava45 (4), hp408 (3), spp131 (5)"
